depense_id;date_depense;date_id;categorie_depense; montant ;motif;utilisateur
1;01.06.2026;01.06.2026;Salaire; 50.000,00 FCFA ;Paiement des employés;Charly
2;01.06.2026;01.06.2026;Fournitures; 3.000,00 FCFA ;verre;Achil
3;03.06.2026;03.06.2026;Transport; 1.500,00 FCFA ;Taxi;Charly
4;05.06.2026;05.06.2026;Transport; 2.500,00 FCFA ;Taxi;Charly
5;11.06.2026;11.06.2026;Abonnement; 10.000,00 FCFA ;Canal plus;Achil
6;20.06.2026;20.06.2026;Immobilisation; 90.000,00 FCFA ;20 chaise Prima;Girandoux
7;20.06.2026;20.06.2026;Transport; 5.000,00 FCFA ;taxi;Charly
8;28.06.2026;28.06.2026;Frais de personnel; 2.000,00 FCFA ;Repas offert au contrôleur lors d'une inspection ou d'une mission. Ce n'est pas une marchandise.;Charly
9;30.06.2026;30.06.2026;Électricité; 8.000,00 FCFA ;Dépense liée à la consommation d'électricité du magasin.;Charly
